load_zone	fuel	period	fuel_cost
nogales	Coal	2018	3.5175
nogales	Diesel	2018	15.04
nogales	Gas	2018	8.87
nogales	Coal	2022	3.565
nogales	Diesel	2022	18.815
nogales	Gas	2022	10.1375
nogales	Coal	2026	3.5625
nogales	Diesel	2026	21.0775
nogales	Gas	2026	10.365
nogales	Coal	2030	3.5125
nogales	Diesel	2030	23.655
nogales	Gas	2030	10.3975
nogales	Coal	2034	3.5175
nogales	Diesel	2034	26.8275
nogales	Gas	2034	10.3975
quillota	Coal	2018	3.5175
quillota	Diesel	2018	15.04
quillota	Gas	2018	8.87
quillota	Coal	2022	3.565
quillota	Diesel	2022	18.815
quillota	Gas	2022	10.1375
quillota	Coal	2026	3.5625
quillota	Diesel	2026	21.0775
quillota	Gas	2026	10.365
quillota	Coal	2030	3.5125
quillota	Diesel	2030	23.655
quillota	Gas	2030	10.3975
quillota	Coal	2034	3.5175
quillota	Diesel	2034	26.8275
quillota	Gas	2034	10.3975
polpaico	Coal	2018	3.5175
polpaico	Diesel	2018	15.04
polpaico	Gas	2018	8.87
polpaico	Coal	2022	3.565
polpaico	Diesel	2022	18.815
polpaico	Gas	2022	10.1375
polpaico	Coal	2026	3.5625
polpaico	Diesel	2026	21.0775
polpaico	Gas	2026	10.365
polpaico	Coal	2030	3.5125
polpaico	Diesel	2030	23.655
polpaico	Gas	2030	10.3975
polpaico	Coal	2034	3.5175
polpaico	Diesel	2034	26.8275
polpaico	Gas	2034	10.3975
alto_jahuel	Coal	2018	3.5175
alto_jahuel	Diesel	2018	15.04
alto_jahuel	Gas	2018	8.87
alto_jahuel	Coal	2022	3.565
alto_jahuel	Diesel	2022	18.815
alto_jahuel	Gas	2022	10.1375
alto_jahuel	Coal	2026	3.5625
alto_jahuel	Diesel	2026	21.0775
alto_jahuel	Gas	2026	10.365
alto_jahuel	Coal	2030	3.5125
alto_jahuel	Diesel	2030	23.655
alto_jahuel	Gas	2030	10.3975
alto_jahuel	Coal	2034	3.5175
alto_jahuel	Diesel	2034	26.8275
alto_jahuel	Gas	2034	10.3975
melipilla_rapel	Coal	2018	3.5175
melipilla_rapel	Diesel	2018	15.04
melipilla_rapel	Gas	2018	8.87
melipilla_rapel	Coal	2022	3.565
melipilla_rapel	Diesel	2022	18.815
melipilla_rapel	Gas	2022	10.1375
melipilla_rapel	Coal	2026	3.5625
melipilla_rapel	Diesel	2026	21.0775
melipilla_rapel	Gas	2026	10.365
melipilla_rapel	Coal	2030	3.5125
melipilla_rapel	Diesel	2030	23.655
melipilla_rapel	Gas	2030	10.3975
melipilla_rapel	Coal	2034	3.5175
melipilla_rapel	Diesel	2034	26.8275
melipilla_rapel	Gas	2034	10.3975
itahue	Coal	2018	3.5175
itahue	Diesel	2018	15.04
itahue	Gas	2018	8.87
itahue	Coal	2022	3.565
itahue	Diesel	2022	18.815
itahue	Gas	2022	10.1375
itahue	Coal	2026	3.5625
itahue	Diesel	2026	21.0775
itahue	Gas	2026	10.365
itahue	Coal	2030	3.5125
itahue	Diesel	2030	23.655
itahue	Gas	2030	10.3975
itahue	Coal	2034	3.5175
itahue	Diesel	2034	26.8275
itahue	Gas	2034	10.3975
ancoa	Coal	2018	3.5175
ancoa	Diesel	2018	15.04
ancoa	Gas	2018	8.87
ancoa	Coal	2022	3.565
ancoa	Diesel	2022	18.815
ancoa	Gas	2022	10.1375
ancoa	Coal	2026	3.5625
ancoa	Diesel	2026	21.0775
ancoa	Gas	2026	10.365
ancoa	Coal	2030	3.5125
ancoa	Diesel	2030	23.655
ancoa	Gas	2030	10.3975
ancoa	Coal	2034	3.5175
ancoa	Diesel	2034	26.8275
ancoa	Gas	2034	10.3975
hualpen	Coal	2018	3.5175
hualpen	Diesel	2018	15.04
hualpen	Gas	2018	8.87
hualpen	Coal	2022	3.565
hualpen	Diesel	2022	18.815
hualpen	Gas	2022	10.1375
hualpen	Coal	2026	3.5625
hualpen	Diesel	2026	21.0775
hualpen	Gas	2026	10.365
hualpen	Coal	2030	3.5125
hualpen	Diesel	2030	23.655
hualpen	Gas	2030	10.3975
hualpen	Coal	2034	3.5175
hualpen	Diesel	2034	26.8275
hualpen	Gas	2034	10.3975
charrua	Coal	2018	3.5175
charrua	Diesel	2018	15.04
charrua	Gas	2018	8.87
charrua	Coal	2022	3.565
charrua	Diesel	2022	18.815
charrua	Gas	2022	10.1375
charrua	Coal	2026	3.5625
charrua	Diesel	2026	21.0775
charrua	Gas	2026	10.365
charrua	Coal	2030	3.5125
charrua	Diesel	2030	23.655
charrua	Gas	2030	10.3975
charrua	Coal	2034	3.5175
charrua	Diesel	2034	26.8275
charrua	Gas	2034	10.3975
temuco	Coal	2018	3.5175
temuco	Diesel	2018	15.04
temuco	Gas	2018	8.87
temuco	Coal	2022	3.565
temuco	Diesel	2022	18.815
temuco	Gas	2022	10.1375
temuco	Coal	2026	3.5625
temuco	Diesel	2026	21.0775
temuco	Gas	2026	10.365
temuco	Coal	2030	3.5125
temuco	Diesel	2030	23.655
temuco	Gas	2030	10.3975
temuco	Coal	2034	3.5175
temuco	Diesel	2034	26.8275
temuco	Gas	2034	10.3975
puerto_montt	Coal	2018	3.5175
puerto_montt	Diesel	2018	15.04
puerto_montt	Gas	2018	8.87
puerto_montt	Coal	2022	3.565
puerto_montt	Diesel	2022	18.815
puerto_montt	Gas	2022	10.1375
puerto_montt	Coal	2026	3.5625
puerto_montt	Diesel	2026	21.0775
puerto_montt	Gas	2026	10.365
puerto_montt	Coal	2030	3.5125
puerto_montt	Diesel	2030	23.655
puerto_montt	Gas	2030	10.3975
puerto_montt	Coal	2034	3.5175
puerto_montt	Diesel	2034	26.8275
puerto_montt	Gas	2034	10.3975
